"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
62,"self-employed","divorced","tertiary","no",6,"yes","no","cellular",13,"apr",103,1,182,3,"success","yes"
34,"blue-collar","married","unknown","no",568,"yes","no","cellular",25,"jul",256,1,-1,0,"unknown","no"
35,"management","single","tertiary","no",657,"yes","no","cellular",23,"jul",547,2,-1,0,"unknown","no"
31,"management","single","tertiary","no",635,"yes","no","unknown",15,"may",293,2,-1,0,"unknown","no"
36,"management","married","tertiary","no",549,"yes","no","cellular",17,"apr",151,4,150,2,"failure","no"
30,"blue-collar","married","primary","no",135,"yes","no","telephone",17,"jul",268,5,-1,0,"unknown","no"
41,"technician","single","tertiary","no",1646,"yes","no","cellular",5,"may",258,1,90,7,"success","yes"
35,"blue-collar","single","primary","no",1215,"yes","no","unknown",15,"may",597,1,-1,0,"unknown","no"
60,"blue-collar","married","unknown","no",3563,"no","no","cellular",13,"aug",159,2,-1,0,"unknown","no"
29,"technician","single","secondary","no",426,"yes","no","telephone",29,"jul",121,6,-1,0,"unknown","no"
51,"admin.","married","secondary","no",1216,"no","no","cellular",25,"nov",421,1,-1,0,"unknown","no"
41,"blue-collar","single","secondary","no",842,"yes","no","unknown",5,"may",144,3,-1,0,"unknown","no"
40,"admin.","divorced","secondary","no",4,"yes","no","cellular",9,"jul",189,1,-1,0,"unknown","no"
34,"services","married","secondary","no",-102,"yes","no","cellular",18,"jul",185,1,-1,0,"unknown","no"
27,"housemaid","married","primary","yes",-238,"no","no","cellular",14,"jul",132,4,-1,0,"unknown","no"
60,"retired","married","primary","no",1906,"no","no","telephone",2,"jun",79,1,60,2,"other","no"
38,"services","single","tertiary","no",1222,"yes","no","unknown",5,"jun",237,2,-1,0,"unknown","no"
52,"blue-collar","married","secondary","no",46,"yes","no","unknown",8,"may",132,1,-1,0,"unknown","no"
41,"entrepreneur","married","primary","no",759,"yes","no","unknown",4,"jun",79,10,-1,0,"unknown","no"
48,"management","married","tertiary","no",717,"no","no","telephone",29,"jul",139,2,-1,0,"unknown","no"
58,"retired","married","primary","no",701,"no","no","cellular",22,"aug",137,4,-1,0,"unknown","no"
75,"retired","married","tertiary","no",6027,"no","no","cellular",16,"nov",1248,2,94,2,"failure","yes"
36,"admin.","married","secondary","no",-294,"yes","no","cellular",18,"may",148,1,-1,0,"unknown","no"
35,"technician","married","secondary","no",2019,"yes","yes","cellular",18,"nov",83,2,144,1,"failure","no"
27,"services","single","secondary","no",0,"no","no","cellular",6,"feb",145,1,-1,0,"unknown","no"
52,"technician","married","secondary","no",475,"yes","no","cellular",28,"jul",121,3,-1,0,"unknown","no"
56,"retired","married","primary","yes",-123,"no","yes","cellular",28,"aug",146,3,-1,0,"unknown","no"
25,"blue-collar","single","secondary","no",0,"no","no","cellular",23,"apr",163,1,-1,0,"unknown","yes"
29,"blue-collar","married","secondary","no",125,"yes","no","unknown",13,"may",50,1,-1,0,"unknown","no"
36,"management","married","tertiary","no",254,"no","no","unknown",6,"jun",161,3,-1,0,"unknown","no"
28,"blue-collar","single","secondary","no",-46,"yes","no","cellular",2,"mar",525,1,89,11,"failure","yes"
52,"technician","divorced","secondary","no",2816,"no","no","unknown",20,"jun",492,3,-1,0,"unknown","no"
50,"services","married","secondary","no",1321,"no","no","unknown",17,"jun",271,2,-1,0,"unknown","no"
